#,Frequency (Hz), Amplitude (Vpp),Gain,Phase
1,100.0,2.0000,-54.92,19.42
2,107.2,2.0000,-54.77,22.11
3,114.8,2.0000,-54.59,21.51
4,123.0,2.0000,-54.56,23.50
5,131.8,2.0000,-54.35,26.03
6,141.3,2.0000,-54.02,25.58
7,151.4,2.0000,-54.16,27.81
8,162.2,2.0000,-53.98,30.62
9,173.8,2.0000,-53.63,30.30
10,186.2,2.0000,-53.54,33.31
11,199.5,2.0000,-53.41,35.93
12,213.8,2.0000,-53.25,36.10
13,229.1,2.0000,-53.03,39.66
14,245.5,2.0000,-52.76,40.44
15,263.0,2.0000,-52.32,42.66
16,281.8,2.0000,-52.11,45.28
17,302.0,2.0000,-51.92,46.29
18,323.6,2.0000,-51.54,49.23
19,346.7,2.0000,-51.30,50.98
20,371.5,2.0000,-50.74,52.35
21,398.1,2.0000,-50.19,54.13
22,426.6,2.0000,-50.05,56.03
23,457.1,2.0000,-49.54,57.12
24,489.8,2.0000,-49.17,59.57
25,524.8,2.0000,-48.58,60.43
26,562.3,2.0000,-48.11,63.11
27,602.6,2.0000,-47.56,65.24
28,645.7,2.0000,-47.11,66.95
29,691.8,2.0000,-46.63,67.50
30,741.3,2.0000,-46.11,68.45
31,794.3,2.0000,-45.51,70.17
32,851.1,2.0000,-44.89,71.25
33,912.0,2.0000,-44.44,72.22
34,977.2,2.0000,-43.81,73.13
35,1047.1,2.0000,-43.30,74.66
36,1122.0,2.0000,-42.72,74.99
37,1202.3,2.0000,-42.19,76.79
38,1288.2,2.0000,-41.59,77.45
39,1380.4,2.0000,-40.99,77.42
40,1479.1,2.0000,-40.41,79.27
41,1584.9,2.0000,-39.80,79.53
42,1698.2,2.0000,-39.25,80.15
43,1819.7,2.0000,-38.61,80.38
44,1949.8,2.0000,-38.02,81.09
45,2089.3,2.0000,-37.38,81.65
46,2238.7,2.0000,-36.81,81.92
47,2398.8,2.0000,-36.24,82.42
48,2570.4,2.0000,-35.57,82.75
49,2754.2,2.0000,-34.98,83.25
50,2951.2,2.0000,-34.37,83.55
51,3162.3,2.0000,-33.77,83.85
52,3388.4,2.0000,-33.18,84.17
53,3630.8,2.0000,-32.50,84.32
54,3890.5,2.0000,-31.95,84.52
55,4168.7,2.0000,-31.30,84.77
56,4466.8,2.0000,-30.68,84.93
57,4786.3,2.0000,-30.06,85.04
58,5128.6,2.0000,-29.41,85.09
59,5495.4,2.0000,-28.76,85.18
60,5888.4,2.0000,-28.11,85.20
61,6309.6,2.0000,-27.46,85.29
62,6760.8,2.0000,-26.79,85.14
63,7244.4,2.0000,-26.12,85.08
64,7762.5,2.0000,-25.45,85.04
65,8317.6,2.0000,-24.76,84.85
66,8912.5,2.0000,-24.11,84.70
67,9549.9,2.0000,-23.36,84.45
68,10232.9,2.0000,-22.60,84.22
69,10964.8,2.0000,-21.83,83.94
70,11749.0,2.0000,-21.05,83.58
71,12589.3,2.0000,-20.20,83.12
72,13489.6,2.0000,-19.30,82.56
73,14454.4,2.0000,-18.36,81.88
74,15488.2,2.0000,-17.36,81.01
75,16595.9,2.0000,-16.27,80.00
76,17782.8,2.0000,-15.08,78.61
77,19054.6,2.0000,-13.76,76.82
78,20417.4,2.0000,-12.25,74.42
79,21877.6,2.0000,-10.49,70.82
80,23442.3,2.0000,-8.40,65.35
81,25118.9,2.0000,-5.84,55.98
82,26915.3,2.0000,-2.93,37.80
83,28840.3,2.0000,-0.98,4.81
84,30903.0,2.0000,-2.15,-29.42
85,33113.1,2.0000,-4.82,-50.05
86,35481.3,2.0000,-7.33,-61.34
87,38018.9,2.0000,-9.52,-68.03
88,40738.0,2.0000,-11.36,-72.32
89,43651.6,2.0000,-12.94,-75.24
90,46773.5,2.0000,-14.32,-77.24
91,50118.7,2.0000,-15.54,-78.89
92,53703.2,2.0000,-16.65,-80.16
93,57544.0,2.0000,-17.67,-81.26
94,61659.5,2.0000,-18.64,-82.07
95,66069.3,2.0000,-19.53,-82.81
96,70794.6,2.0000,-20.39,-83.48
97,75857.8,2.0000,-21.19,-83.95
98,81283.1,2.0000,-22.00,-84.42
99,87096.4,2.0000,-22.75,-84.86
100,93325.4,2.0000,-23.45,-85.23
101,100000.0,2.0000,-24.19,-85.57
