X--Trace 1::[V(1) | V(V_out)],Y--Trace 1::[V(1) | V(V_out)]
50,1.00001
52.3564,1.00001
54.8239,1.00001
57.4077,1.00001
60.1132,1.00001
62.9463,1.00002
65.9128,1.00002
69.0192,1.00002
72.272,1.00002
75.6781,1.00003
79.2447,1.00003
82.9793,1.00003
86.89,1.00003
90.985,1.00004
95.273,1.00004
99.7631,1.00005
104.465,1.00005
109.388,1.00006
114.543,1.00006
119.942,1.00007
125.594,1.00008
131.513,1.00008
137.711,1.00009
144.202,1.0001
150.998,1.00011
158.114,1.00012
165.566,1.00014
173.368,1.00015
181.539,1.00016
190.095,1.00018
199.054,1.0002
208.435,1.00022
218.258,1.00024
228.544,1.00026
239.315,1.00029
250.594,1.00031
262.404,1.00034
274.77,1.00038
287.72,1.00041
301.28,1.00045
315.479,1.0005
330.347,1.00055
345.915,1.0006
362.218,1.00066
379.289,1.00072
397.164,1.00079
415.882,1.00087
435.482,1.00095
456.005,1.00105
477.496,1.00115
500,1.00126
523.564,1.00138
548.239,1.00151
574.077,1.00166
601.132,1.00182
629.463,1.002
659.128,1.00219
690.192,1.0024
722.72,1.00263
756.781,1.00288
792.447,1.00316
829.793,1.00347
868.9,1.0038
909.85,1.00417
952.73,1.00457
997.631,1.00501
1044.65,1.00549
1093.88,1.00602
1145.43,1.0066
1199.42,1.00724
1255.94,1.00793
1315.13,1.00869
1377.11,1.00953
1442.02,1.01044
1509.98,1.01144
1581.14,1.01254
1655.66,1.01374
1733.68,1.01505
1815.39,1.01649
1900.95,1.01807
1990.54,1.01979
2084.35,1.02167
2182.58,1.02373
2285.44,1.02598
2393.15,1.02843
2505.94,1.03112
2624.04,1.03404
2747.7,1.03723
2877.2,1.04071
3012.8,1.04448
3154.79,1.04859
3303.47,1.05304
3459.15,1.05787
3622.18,1.06308
3792.89,1.06869
3971.64,1.07472
4158.82,1.08117
4354.82,1.08803
4560.05,1.09527
4774.96,1.10287
5000,1.11074
5235.64,1.11878
5482.39,1.12683
5740.77,1.13467
6011.32,1.142
6294.63,1.14843
6591.28,1.15342
6901.92,1.15635
7227.2,1.15641
7567.81,1.1527
7924.47,1.14423
8297.93,1.12999
8689,1.1091
9098.5,1.08094
9527.3,1.04528
9976.31,1.00239
10446.5,0.953121
10938.8,0.898745
11454.3,0.840861
11994.2,0.781168
12559.4,0.721274
13151.3,0.662556
13771.1,0.606087
14420.2,0.552619
15099.8,0.502619
15811.4,0.45631
16556.6,0.413739
17336.8,0.374822
18153.9,0.339393
19009.5,0.307235
19905.4,0.278107
20843.5,0.251759
21825.8,0.227948
22854.4,0.206438
23931.5,0.187011
25059.4,0.169464
26240.4,0.153612
27477,0.139286
28772,0.126336
30128,0.114623
31547.9,0.104024
33034.7,0.0944298
34591.5,0.0857404
36221.8,0.0778672
37928.9,0.0707304
39716.4,0.0642586
41588.2,0.0583877
43548.2,0.05306
45600.5,0.048224
47749.6,0.0438332
50000,0.0398459
