X--Trace 1::[V(1) | V(V_out)],Y--Trace 1::[V(1) | V(V_out)]
50,-0.28718
52.3564,-0.300715
54.8239,-0.314888
57.4077,-0.329729
60.1132,-0.345269
62.9463,-0.361542
65.9128,-0.378582
69.0192,-0.396425
72.272,-0.415109
75.6781,-0.434674
79.2447,-0.455161
82.9793,-0.476614
86.89,-0.499079
90.985,-0.522602
95.273,-0.547235
99.7631,-0.573028
104.465,-0.600038
109.388,-0.628322
114.543,-0.657939
119.942,-0.688952
125.594,-0.721428
131.513,-0.755436
137.711,-0.791047
144.202,-0.828338
150.998,-0.867388
158.114,-0.90828
165.566,-0.951102
173.368,-0.995943
181.539,-1.0429
190.095,-1.09207
199.054,-1.14357
208.435,-1.19749
218.258,-1.25397
228.544,-1.3131
239.315,-1.37504
250.594,-1.43989
262.404,-1.50781
274.77,-1.57895
287.72,-1.65344
301.28,-1.73146
315.479,-1.81316
330.347,-1.89874
345.915,-1.98836
362.218,-2.08223
379.289,-2.18055
397.164,-2.28353
415.882,-2.39139
435.482,-2.50437
456.005,-2.62272
477.496,-2.7467
500,-2.87657
523.564,-3.01263
548.239,-3.15517
574.077,-3.30451
601.132,-3.46098
629.463,-3.62494
659.128,-3.79675
690.192,-3.9768
722.72,-4.16551
756.781,-4.36329
792.447,-4.57062
829.793,-4.78797
868.9,-5.01585
909.85,-5.25481
952.73,-5.50541
997.631,-5.76825
1044.65,-6.04399
1093.88,-6.3333
1145.43,-6.63691
1199.42,-6.95559
1255.94,-7.29017
1315.13,-7.64153
1377.11,-8.01061
1442.02,-8.39842
1509.98,-8.80604
1581.14,-9.23464
1655.66,-9.68547
1733.68,-10.1599
1815.39,-10.6594
1900.95,-11.1855
1990.54,-11.7399
2084.35,-12.3246
2182.58,-12.9416
2285.44,-13.5932
2393.15,-14.2817
2505.94,-15.0099
2624.04,-15.7808
2747.7,-16.5977
2877.2,-17.4641
3012.8,-18.3842
3154.79,-19.3625
3303.47,-20.4039
3459.15,-21.5141
3622.18,-22.6994
3792.89,-23.9667
3971.64,-25.324
4158.82,-26.78
4354.82,-28.3448
4560.05,-30.0293
4774.96,-31.8459
5000,-33.8085
5235.64,-35.9321
5482.39,-38.2334
5740.77,-40.7303
6011.32,-43.4416
6294.63,-46.3867
6591.28,-49.5845
6901.92,-53.0523
7227.2,-56.8035
7567.81,-60.846
7924.47,-65.1786
8297.93,-69.7884
8689,-74.648
9098.5,-79.7144
9527.3,-84.9293
9976.31,-90.2222
10446.5,-95.5156
10938.8,-100.732
11454.3,-105.802
11994.2,-110.666
12559.4,-115.282
13151.3,-119.623
13771.1,-123.675
14420.2,-127.439
15099.8,-130.921
15811.4,-134.136
16556.6,-137.101
17336.8,-139.835
18153.9,-142.358
19009.5,-144.69
19905.4,-146.848
20843.5,-148.849
21825.8,-150.709
22854.4,-152.443
23931.5,-154.064
25059.4,-155.583
26240.4,-157.012
27477,-158.359
28772,-159.635
30128,-160.848
31547.9,-162.006
33034.7,-163.116
34591.5,-164.185
36221.8,-165.22
37928.9,-166.228
39716.4,-167.217
41588.2,-168.192
43548.2,-169.162
45600.5,-170.134
47749.6,-171.116
50000,-172.117
