#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,50.0,5.0000,0.04,-0.05
2,51.8,5.0000,0.05,-0.07
3,53.6,5.0000,0.04,-0.07
4,55.5,5.0000,0.05,-0.10
5,57.4,5.0000,0.05,-0.07
6,59.4,5.0000,0.04,-0.14
7,61.5,5.0000,0.04,-0.16
8,63.7,5.0000,0.04,-0.17
9,65.9,5.0000,0.04,-0.19
10,68.2,5.0000,0.04,-0.22
11,70.6,5.0000,0.05,-0.17
12,73.1,5.0000,0.05,-0.18
13,75.7,5.0000,0.05,-0.27
14,78.3,5.0000,0.05,-0.29
15,81.1,5.0000,0.04,-0.33
16,83.9,5.0000,0.05,-0.35
17,86.9,5.0000,0.05,-0.29
18,89.9,5.0000,0.04,-0.40
19,93.1,5.0000,0.04,-0.40
20,96.4,5.0000,0.06,-0.42
21,99.8,5.0000,0.05,-0.46
22,103.3,5.0000,0.04,-0.48
23,106.9,5.0000,0.05,-0.52
24,110.7,5.0000,0.05,-0.52
25,114.5,5.0000,0.05,-0.56
26,118.6,5.0000,0.04,-0.62
27,122.7,5.0000,0.04,-0.63
28,127.0,5.0000,0.05,-0.64
29,131.5,5.0000,0.05,-0.68
30,136.1,5.0000,0.04,-0.73
31,140.9,5.0000,0.05,-0.69
32,145.9,5.0000,0.05,-0.74
33,151.0,5.0000,0.04,-0.76
34,156.3,5.0000,0.04,-0.80
35,161.8,5.0000,0.04,-0.84
36,167.5,5.0000,0.04,-0.87
37,173.4,5.0000,0.04,-0.92
38,179.5,5.0000,0.05,-0.91
39,185.8,5.0000,0.04,-0.97
40,192.3,5.0000,0.04,-0.98
41,199.1,5.0000,0.04,-1.07
42,206.0,5.0000,0.04,-1.09
43,213.3,5.0000,0.04,-1.13
44,220.8,5.0000,0.04,-1.14
45,228.5,5.0000,0.04,-1.21
46,236.6,5.0000,0.04,-1.21
47,244.9,5.0000,0.04,-1.28
48,253.5,5.0000,0.04,-1.32
49,262.4,5.0000,0.04,-1.37
50,271.6,5.0000,0.04,-1.43
51,281.2,5.0000,0.04,-1.49
52,291.1,5.0000,0.05,-1.55
53,301.3,5.0000,0.05,-1.59
54,311.9,5.0000,0.05,-1.67
55,322.8,5.0000,0.04,-1.66
56,334.2,5.0000,0.05,-1.72
57,345.9,5.0000,0.05,-1.81
58,358.1,5.0000,0.05,-1.85
59,370.7,5.0000,0.05,-1.94
60,383.7,5.0000,0.04,-2.00
61,397.2,5.0000,0.03,-2.07
62,411.1,5.0000,0.04,-2.16
63,425.6,5.0000,0.05,-2.18
64,440.5,5.0000,0.04,-2.30
65,456.0,5.0000,0.05,-2.39
66,472.0,5.0000,0.03,-2.49
67,488.6,5.0000,0.07,-2.54
68,505.8,5.0000,0.04,-2.64
69,523.6,5.0000,0.05,-2.70
70,542.0,5.0000,0.04,-2.87
71,561.0,5.0000,0.04,-2.92
72,580.7,5.0000,0.04,-3.04
73,601.1,5.0000,0.05,-3.15
74,622.3,5.0000,0.04,-3.21
75,644.1,5.0000,0.05,-3.34
76,666.8,5.0000,0.05,-3.45
77,690.2,5.0000,0.05,-3.60
78,714.4,5.0000,0.03,-3.71
79,739.6,5.0000,0.07,-3.83
80,765.5,5.0000,0.07,-4.00
81,792.4,5.0000,0.04,-4.13
82,820.3,5.0000,0.05,-4.24
83,849.1,5.0000,0.04,-4.40
84,879.0,5.0000,0.07,-4.53
85,909.9,5.0000,0.06,-4.72
86,941.8,5.0000,0.05,-4.87
87,974.9,5.0000,0.06,-5.04
88,1009.2,5.0000,0.08,-5.21
89,1044.6,5.0000,0.07,-5.42
90,1081.4,5.0000,0.07,-5.60
91,1119.4,5.0000,0.07,-5.79
92,1158.7,5.0000,0.08,-6.02
93,1199.4,5.0000,0.08,-6.25
94,1241.6,5.0000,0.10,-6.46
95,1285.2,5.0000,0.09,-6.65
96,1330.4,5.0000,0.08,-6.89
97,1377.1,5.0000,0.09,-7.18
98,1425.5,5.0000,0.09,-7.43
99,1475.6,5.0000,0.10,-7.72
100,1527.5,5.0000,0.11,-7.97
101,1581.1,5.0000,0.11,-8.29
102,1636.7,5.0000,0.12,-8.59
103,1694.2,5.0000,0.13,-8.88
104,1753.8,5.0000,0.13,-9.22
105,1815.4,5.0000,0.13,-9.55
106,1879.2,5.0000,0.16,-9.91
107,1945.2,5.0000,0.15,-10.26
108,2013.6,5.0000,0.16,-10.66
109,2084.3,5.0000,0.17,-11.04
110,2157.6,5.0000,0.18,-11.46
111,2233.4,5.0000,0.19,-11.86
112,2311.9,5.0000,0.22,-12.32
113,2393.2,5.0000,0.22,-12.76
114,2477.3,5.0000,0.24,-13.22
115,2564.3,5.0000,0.26,-13.74
116,2654.4,5.0000,0.27,-14.26
117,2747.7,5.0000,0.29,-14.82
118,2844.3,5.0000,0.29,-15.40
119,2944.2,5.0000,0.31,-15.93
120,3047.7,5.0000,0.34,-16.58
121,3154.8,5.0000,0.37,-17.21
122,3265.7,5.0000,0.39,-17.92
123,3380.4,5.0000,0.43,-18.61
124,3499.2,5.0000,0.45,-19.35
125,3622.2,5.0000,0.47,-20.15
126,3749.5,5.0000,0.51,-20.95
127,3881.2,5.0000,0.54,-21.76
128,4017.6,5.0000,0.58,-22.69
129,4158.8,5.0000,0.62,-23.65
130,4305.0,5.0000,0.68,-24.62
131,4456.3,5.0000,0.70,-25.71
132,4612.9,5.0000,0.74,-26.82
133,4775.0,5.0000,0.80,-28.01
134,4942.8,5.0000,0.86,-29.20
135,5116.5,5.0000,0.90,-30.57
136,5296.3,5.0000,0.96,-31.96
137,5482.4,5.0000,1.00,-33.44
138,5675.1,5.0000,1.06,-35.05
139,5874.5,5.0000,1.12,-36.75
140,6080.9,5.0000,1.17,-38.60
141,6294.6,5.0000,1.25,-40.54
142,6515.8,5.0000,1.31,-42.61
143,6744.8,5.0000,1.37,-44.92
144,6981.8,5.0000,1.40,-47.27
145,7227.2,5.0000,1.50,-49.84
146,7481.2,5.0000,1.51,-52.59
147,7744.1,5.0000,1.54,-55.54
148,8016.2,5.0000,1.57,-58.75
149,8297.9,5.0000,1.57,-62.07
