#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,50.0,2.0000,-20.18,-1.10
2,53.6,2.0000,-20.18,-0.98
3,57.4,2.0000,-20.18,-0.80
4,61.5,2.0000,-20.18,-0.73
5,65.9,2.0000,-20.14,-0.62
6,70.6,2.0000,-20.14,-0.53
7,75.7,2.0000,-20.13,-0.42
8,81.1,2.0000,-20.10,-0.38
9,86.9,2.0000,-20.08,-0.34
10,93.1,2.0000,-20.09,-0.30
11,99.8,2.0000,-20.07,-0.39
12,106.9,2.0000,-20.05,-0.38
13,114.5,2.0000,-20.04,-0.46
14,122.7,2.0000,-20.03,-0.52
15,131.5,2.0000,-20.04,-0.57
16,140.9,2.0000,-20.02,-0.67
17,151.0,2.0000,-20.01,-0.74
18,161.8,2.0000,-20.01,-0.82
19,173.4,2.0000,-20.01,-0.94
20,185.8,2.0000,-20.01,-1.02
21,199.1,2.0000,-20.00,-1.09
22,213.3,2.0000,-20.00,-1.15
23,228.5,2.0000,-20.00,-1.26
24,244.9,2.0000,-20.00,-1.39
25,262.4,2.0000,-20.01,-1.49
26,281.2,2.0000,-20.01,-1.64
27,301.3,2.0000,-20.01,-1.78
28,322.8,2.0000,-20.01,-1.89
29,345.9,2.0000,-20.01,-2.00
30,370.7,2.0000,-20.00,-2.18
31,397.2,2.0000,-20.01,-2.35
32,425.6,2.0000,-20.01,-2.50
33,456.0,2.0000,-20.03,-2.71
34,488.6,2.0000,-20.01,-2.86
35,523.6,2.0000,-20.01,-3.07
36,561.0,2.0000,-20.02,-3.32
37,601.1,2.0000,-20.03,-3.55
38,644.1,2.0000,-20.03,-3.76
39,690.2,2.0000,-20.03,-4.01
40,739.6,2.0000,-20.03,-4.27
41,792.4,2.0000,-20.04,-4.61
42,849.1,2.0000,-20.03,-4.93
43,909.9,2.0000,-20.04,-5.21
44,974.9,2.0000,-20.05,-5.57
45,1044.6,2.0000,-20.05,-5.97
46,1119.4,2.0000,-20.05,-6.35
47,1199.4,2.0000,-20.05,-6.82
48,1285.2,2.0000,-20.05,-7.27
49,1377.1,2.0000,-20.05,-7.70
50,1475.6,2.0000,-20.05,-8.23
51,1581.1,2.0000,-20.06,-8.75
52,1694.2,2.0000,-20.06,-9.34
53,1815.4,2.0000,-20.05,-9.99
54,1945.2,2.0000,-20.04,-10.64
55,2084.3,2.0000,-20.04,-11.38
56,2233.4,2.0000,-20.01,-12.21
57,2393.2,2.0000,-20.00,-13.05
58,2564.3,2.0000,-19.98,-13.97
59,2747.7,2.0000,-19.94,-14.98
60,2944.2,2.0000,-19.91,-16.07
61,3154.8,2.0000,-19.88,-17.23
62,3380.4,2.0000,-19.83,-18.55
63,3622.2,2.0000,-19.78,-19.98
64,3881.2,2.0000,-19.73,-21.53
65,4158.8,2.0000,-19.67,-23.25
66,4456.3,2.0000,-19.59,-25.25
67,4775.0,2.0000,-19.51,-27.37
68,5116.5,2.0000,-19.40,-29.84
69,5482.4,2.0000,-19.31,-32.53
70,5874.5,2.0000,-19.20,-35.72
71,6294.6,2.0000,-19.09,-39.21
72,6744.8,2.0000,-18.97,-43.29
73,7227.2,2.0000,-18.89,-47.94
74,7744.1,2.0000,-18.81,-53.29
75,8297.9,2.0000,-18.79,-59.43
76,8891.4,2.0000,-18.86,-66.31
77,9527.3,2.0000,-19.03,-73.95
78,10208.7,2.0000,-19.36,-82.31
79,10938.8,2.0000,-19.87,-91.12
80,11721.1,2.0000,-20.61,-100.14
81,12559.4,2.0000,-21.51,-109.06
82,13457.7,2.0000,-22.64,-117.63
83,14420.2,2.0000,-23.91,-125.74
84,15451.5,2.0000,-25.34,-133.22
85,16556.6,2.0000,-26.90,-140.36
86,17740.7,2.0000,-28.54,-147.36
87,19009.5,2.0000,-30.32,-154.29
88,20369.0,2.0000,-32.20,-161.54
89,21825.8,2.0000,-34.22,-169.74
90,23386.8,2.0000,-36.36,180.19
91,25059.4,2.0000,-38.62,167.06
92,26851.6,2.0000,-40.62,148.90
93,28772.0,2.0000,-41.91,125.26
94,30829.8,2.0000,-41.81,101.06
95,33034.7,2.0000,-40.71,81.71
96,35397.3,2.0000,-39.28,68.05
97,37928.9,2.0000,-37.86,58.22
98,40641.5,2.0000,-36.52,50.94
99,43548.2,2.0000,-35.34,45.29
100,46662.7,2.0000,-34.27,40.53
101,50000.0,2.0000,-33.29,36.35
