X--Trace 1::[V(11) | V(PR1)],Y--Trace 1::[V(11) | V(PR1)],,X--Trace 2::[V(9) | V(PR2)],Y--Trace 2::[V(9) | V(PR2)]
50,1,,50,0.999755871
51.16464961,1,,51.16464961,0.999744935
52.3564274,1,,52.3564274,0.999733485
53.57596526,1,,53.57596526,0.999721495
54.82390981,1,,54.82390981,0.999708942
56.10092272,1,,56.10092272,0.999695798
57.40768107,1,,57.40768107,0.999682036
58.74487775,1,,58.74487775,0.999667626
60.11322173,1,,60.11322173,0.999652538
61.51343854,1,,61.51343854,0.999636741
62.94627059,1,,62.94627059,0.999620201
64.41247758,1,,64.41247758,0.999602883
65.91283693,1,,65.91283693,0.999584751
67.44814413,1,,67.44814413,0.999565766
69.01921323,1,,69.01921323,0.999545889
70.62687723,1,,70.62687723,0.999525078
72.27198854,1,,72.27198854,0.999503288
73.95541941,1,,73.95541941,0.999480475
75.67806242,1,,75.67806242,0.99945659
77.44083095,1,,77.44083095,0.999431583
79.24465962,1,,79.24465962,0.999405401
81.09050487,1,,81.09050487,0.99937799
82.97934537,1,,82.97934537,0.999349291
84.91218262,1,,84.91218262,0.999319245
86.89004144,1,,86.89004144,0.999287789
88.9139705,1,,88.9139705,0.999254857
90.98504293,1,,90.98504293,0.99922038
93.10435683,1,,93.10435683,0.999184285
95.2730359,1,,95.2730359,0.999146498
97.49222999,1,,97.49222999,0.999106938
99.76311575,1,,99.76311575,0.999065524
102.0868972,1,,102.0868972,0.99902217
104.4648065,1,,104.4648065,0.998976784
106.8981045,1,,106.8981045,0.998929272
109.3880812,1,,109.3880812,0.998879535
111.9360569,1,,111.9360569,0.99882747
114.5433826,1,,114.5433826,0.998772969
117.2114408,1,,117.2114408,0.998715918
119.941646,1,,119.941646,0.998656198
122.7354458,1,,122.7354458,0.998593687
125.5943216,1,,125.5943216,0.998528255
128.5197891,1,,128.5197891,0.998459766
131.5133996,1,,131.5133996,0.99838808
134.5767402,1,,134.5767402,0.998313047
137.7114352,1,,137.7114352,0.998234514
140.9191466,1,,140.9191466,0.99815232
144.2015752,1,,144.2015752,0.998066294
147.5604613,1,,147.5604613,0.997976262
150.997586,1,,150.997586,0.997882038
154.5147716,1,,154.5147716,0.997783431
158.113883,1,,158.113883,0.997680238
161.7968285,1,,161.7968285,0.997572249
165.5655607,1,,165.5655607,0.997459246
169.4220781,1,,169.4220781,0.997340999
173.3684252,1,,173.3684252,0.997217268
177.4066946,1,,177.4066946,0.997087804
181.5390274,1,,181.5390274,0.996952346
185.7676145,1,,185.7676145,0.996810621
190.0946982,1,,190.0946982,0.996662345
194.5225725,1,,194.5225725,0.996507223
199.0535853,1,,199.0535853,0.996344944
203.6901389,1,,203.6901389,0.996175186
208.4346917,1,,208.4346917,0.995997612
213.2897594,1,,213.2897594,0.995811873
218.2579161,1,,218.2579161,0.995617601
223.3417961,1,,223.3417961,0.995414417
228.5440948,1,,228.5440948,0.995201923
233.8675706,1,,233.8675706,0.994979705
239.3150462,1,,239.3150462,0.994747333
244.8894097,1,,244.8894097,0.994504358
250.5936168,1,,250.5936168,0.994250314
256.430692,1,,256.430692,0.993984715
262.4037301,1,,262.4037301,0.993707055
268.5158982,1,,268.5158982,0.993416809
274.7704369,1,,274.7704369,0.993113432
281.1706626,1,,281.1706626,0.992796354
287.7199687,1,,287.7199687,0.992464988
294.4218277,1,,294.4218277,0.99211872
301.279793,1,,301.279793,0.991756915
308.2975009,1,,308.2975009,0.991378915
315.4786722,1,,315.4786722,0.990984035
322.8271145,1,,322.8271145,0.990571566
330.346724,1,,330.346724,0.990140776
338.0414877,1,,338.0414877,0.989690904
345.9154855,1,,345.9154855,0.989221164
353.9728922,1,,353.9728922,0.988730742
362.21798,1,,362.21798,0.988218799
370.6551207,1,,370.6551207,0.987684466
379.2887875,1,,379.2887875,0.987126848
388.1235583,1,,388.1235583,0.986545021
397.1641174,1,,397.1641174,0.985938033
406.4152581,1,,406.4152581,0.985304905
415.8818856,1,,415.8818856,0.984644628
425.5690191,1,,425.5690191,0.983956168
435.481795,1,,435.481795,0.98323846
445.6254691,1,,445.6254691,0.982490416
456.0054197,1,,456.0054197,0.981710919
466.6271504,1,,466.6271504,0.980898826
477.496293,1,,477.496293,0.980052972
488.6186105,1,,488.6186105,0.979172165
500,1,,500,0.978255195
511.6464961,1,,511.6464961,0.977300828
523.564274,1,,523.564274,0.976307814
535.7596526,1,,535.7596526,0.975274885
548.2390981,1,,548.2390981,0.97420076
561.0092272,1,,561.0092272,0.973084147
574.0768107,1,,574.0768107,0.971923744
587.4487775,1,,587.4487775,0.970718248
601.1322173,1,,601.1322173,0.969466353
615.1343854,1,,615.1343854,0.968166756
629.4627059,1,,629.4627059,0.966818164
644.1247758,1,,644.1247758,0.965419297
659.1283693,1,,659.1283693,0.963968893
674.4814413,1,,674.4814413,0.962465718
690.1921323,1,,690.1921323,0.960908567
706.2687723,1,,706.2687723,0.959296276
722.7198854,1,,722.7198854,0.957627726
739.5541941,1,,739.5541941,0.955901857
756.7806242,1,,756.7806242,0.95411767
774.4083095,1,,774.4083095,0.95227424
792.4465962,1,,792.4465962,0.950370729
810.9050487,1,,810.9050487,0.948406392
829.7934537,1,,829.7934537,0.94638059
849.1218262,1,,849.1218262,0.944292804
868.9004144,1,,868.9004144,0.942142645
889.139705,1,,889.139705,0.93992987
909.8504293,1,,909.8504293,0.937654395
931.0435683,1,,931.0435683,0.93531631
952.730359,1,,952.730359,0.932915892
974.9222999,1,,974.9222999,0.930453624
997.6311575,1,,997.6311575,0.927930211
1020.868972,1,,1020.868972,0.925346595
1044.648065,1,,1044.648065,0.922703974
1068.981045,1,,1068.981045,0.92000382
1093.880812,1,,1093.880812,0.917247896
1119.360569,1,,1119.360569,0.914438276
1145.433826,1,,1145.433826,0.911577365
1172.114408,1,,1172.114408,0.908667914
1199.41646,1,,1199.41646,0.905713045
1227.354458,1,,1227.354458,0.902716268
1255.943216,1,,1255.943216,0.899681502
1285.197891,1,,1285.197891,0.896613092
