X--Trace 1::[V(11) | V(PR1)],Y--Trace 1::[V(11) | V(PR1)],,X--Trace 2::[V(9) | V(PR2)],Y--Trace 2::[V(9) | V(PR2)]
50,0,,50,-1.975073802
51.16464961,0,,51.16464961,-2.021063105
52.3564274,0,,52.3564274,-2.068122488
53.57596526,0,,53.57596526,-2.116276794
54.82390981,0,,54.82390981,-2.165551438
56.10092272,0,,56.10092272,-2.215972423
57.40768107,0,,57.40768107,-2.26756635
58.74487775,0,,58.74487775,-2.320360432
60.11322173,0,,60.11322173,-2.374382508
61.51343854,0,,61.51343854,-2.429661057
62.94627059,0,,62.94627059,-2.486225215
64.41247758,0,,64.41247758,-2.544104783
65.91283693,0,,65.91283693,-2.603330249
67.44814413,0,,67.44814413,-2.6639328
69.01921323,0,,69.01921323,-2.725944338
70.62687723,0,,70.62687723,-2.789397493
72.27198854,0,,72.27198854,-2.854325645
73.95541941,0,,73.95541941,-2.920762935
75.67806242,0,,75.67806242,-2.988744285
77.44083095,0,,77.44083095,-3.058305414
79.24465962,0,,79.24465962,-3.129482855
81.09050487,0,,81.09050487,-3.202313972
82.97934537,0,,82.97934537,-3.276836983
84.91218262,0,,84.91218262,-3.35309097
86.89004144,0,,86.89004144,-3.431115904
88.9139705,0,,88.9139705,-3.510952663
90.98504293,0,,90.98504293,-3.592643051
93.10435683,0,,93.10435683,-3.676229815
95.2730359,0,,95.2730359,-3.761756669
97.49222999,0,,97.49222999,-3.849268313
99.76311575,0,,99.76311575,-3.938810451
102.0868972,0,,102.0868972,-4.030429818
104.4648065,0,,104.4648065,-4.124174193
106.8981045,0,,106.8981045,-4.220092429
109.3880812,0,,109.3880812,-4.31823447
111.9360569,0,,111.9360569,-4.418651372
114.5433826,0,,114.5433826,-4.521395331
117.2114408,0,,117.2114408,-4.626519701
119.941646,0,,119.941646,-4.734079019
122.7354458,0,,122.7354458,-4.844129026
125.5943216,0,,125.5943216,-4.956726696
128.5197891,0,,128.5197891,-5.071930253
131.5133996,0,,131.5133996,-5.1897992
134.5767402,0,,134.5767402,-5.310394341
137.7114352,0,,137.7114352,-5.433777806
140.9191466,0,,140.9191466,-5.560013075
144.2015752,0,,144.2015752,-5.689165004
147.5604613,0,,147.5604613,-5.821299848
150.997586,0,,150.997586,-5.956485288
154.5147716,0,,154.5147716,-6.094790454
158.113883,0,,158.113883,-6.23628595
161.7968285,0,,161.7968285,-6.381043881
165.5655607,0,,165.5655607,-6.529137876
169.4220781,0,,169.4220781,-6.680643114
173.3684252,0,,173.3684252,-6.835636346
177.4066946,0,,177.4066946,-6.994195925
181.5390274,0,,181.5390274,-7.156401822
185.7676145,0,,185.7676145,-7.322335659
190.0946982,0,,190.0946982,-7.492080725
194.5225725,0,,194.5225725,-7.665722002
199.0535853,0,,199.0535853,-7.843346191
203.6901389,0,,203.6901389,-8.025041726
208.4346917,0,,208.4346917,-8.210898803
213.2897594,0,,213.2897594,-8.401009396
218.2579161,0,,218.2579161,-8.595467279
223.3417961,0,,223.3417961,-8.794368043
228.5440948,0,,228.5440948,-8.997809114
233.8675706,0,,233.8675706,-9.205889771
239.3150462,0,,239.3150462,-9.41871116
244.8894097,0,,244.8894097,-9.636376308
250.5936168,0,,250.5936168,-9.858990133
256.430692,0,,256.430692,-10.08665946
262.4037301,0,,262.4037301,-10.31949302
268.5158982,0,,268.5158982,-10.55760148
274.7704369,0,,274.7704369,-10.8010974
281.1706626,0,,281.1706626,-11.0500953
287.7199687,0,,287.7199687,-11.3047116
294.4218277,0,,294.4218277,-11.56506466
301.279793,0,,301.279793,-11.83127473
308.2975009,0,,308.2975009,-12.10346401
315.4786722,0,,315.4786722,-12.38175655
322.8271145,0,,322.8271145,-12.6662783
330.346724,0,,330.346724,-12.95715708
338.0414877,0,,338.0414877,-13.25452253
345.9154855,0,,345.9154855,-13.55850609
353.9728922,0,,353.9728922,-13.869241
362.21798,0,,362.21798,-14.18686223
370.6551207,0,,370.6551207,-14.51150642
379.2887875,0,,379.2887875,-14.84331191
388.1235583,0,,388.1235583,-15.18241859
397.1641174,0,,397.1641174,-15.52896791
406.4152581,0,,406.4152581,-15.88310279
415.8818856,0,,415.8818856,-16.24496757
425.5690191,0,,425.5690191,-16.61470788
435.481795,0,,435.481795,-16.99247064
445.6254691,0,,445.6254691,-17.37840389
456.0054197,0,,456.0054197,-17.77265674
466.6271504,0,,466.6271504,-18.17537926
477.496293,0,,477.496293,-18.58672237
488.6186105,0,,488.6186105,-19.00683768
500,0,,500,-19.43587745
511.6464961,0,,511.6464961,-19.87399438
523.564274,0,,523.564274,-20.3213415
535.7596526,0,,535.7596526,-20.77807203
548.2390981,0,,548.2390981,-21.24433923
561.0092272,0,,561.0092272,-21.72029621
574.0768107,0,,574.0768107,-22.20609583
587.4487775,0,,587.4487775,-22.70189044
601.1322173,0,,601.1322173,-23.20783179
615.1343854,0,,615.1343854,-23.72407081
629.4627059,0,,629.4627059,-24.25075742
644.1247758,0,,644.1247758,-24.78804038
659.1283693,0,,659.1283693,-25.33606707
674.4814413,0,,674.4814413,-25.89498336
690.1921323,0,,690.1921323,-26.46493336
706.2687723,0,,706.2687723,-27.04605929
722.7198854,0,,722.7198854,-27.63850132
739.5541941,0,,739.5541941,-28.24239735
756.7806242,0,,756.7806242,-28.85788293
774.4083095,0,,774.4083095,-29.48509108
792.4465962,0,,792.4465962,-30.12415218
810.9050487,0,,810.9050487,-30.77519388
829.7934537,0,,829.7934537,-31.438341
849.1218262,0,,849.1218262,-32.11371553
868.9004144,0,,868.9004144,-32.80143655
889.139705,0,,889.139705,-33.50162033
909.8504293,0,,909.8504293,-34.21438033
931.0435683,0,,931.0435683,-34.93982733
952.730359,0,,952.730359,-35.67806963
974.9222999,0,,974.9222999,-36.42921322
997.6311575,0,,997.6311575,-37.19336212
1020.868972,0,,1020.868972,-37.97061871
1044.648065,0,,1044.648065,-38.76108421
1068.981045,0,,1068.981045,-39.56485919
1093.880812,0,,1093.880812,-40.38204418
1119.360569,0,,1119.360569,-41.21274047
1145.433826,0,,1145.433826,-42.0570509
1172.114408,0,,1172.114408,-42.91508087
1199.41646,0,,1199.41646,-43.78693943
1227.354458,0,,1227.354458,-44.67274055
1255.943216,0,,1255.943216,-45.57260453
1285.197891,0,,1285.197891,-46.4866596
1315.133996,0,,1315.133996,-47.41504364
1345.767402,0,,1345.767402,-48.3579062
1377.114352,0,,1377.114352,-49.31541064
1409.191466,0,,1409.191466,-50.28773654
1442.015752,0,,1442.015752,-51.27508238
1475.604613,0,,1475.604613,-52.2776684
1509.97586,0,,1509.97586,-53.29573987
1545.147716,0,,1545.147716,-54.32957058
1581.13883,0,,1581.13883,-55.37946665
1617.968285,0,,1617.968285,-56.44577085
1655.655607,0,,1655.655607,-57.52886712
1694.220781,0,,1694.220781,-58.62918568
1733.684252,0,,1733.684252,-59.74720857
1774.066946,0,,1774.066946,-60.88347566
1815.390274,0,,1815.390274,-62.03859133
1857.676145,0,,1857.676145,-63.2132317
1900.946982,0,,1900.946982,-64.40815264
1945.225725,0,,1945.225725,-65.62419847
1990.535853,0,,1990.535853,-66.86231158
2036.901389,0,,2036.901389,-68.123543
2084.346917,0,,2084.346917,-69.40906398
2132.897594,0,,2132.897594,-70.72017883
2182.579161,0,,2182.579161,-72.05833899
2233.417961,0,,2233.417961,-73.42515861
2285.440948,0,,2285.440948,-74.82243165
2338.675706,0,,2338.675706,-76.25215086
2393.150462,0,,2393.150462,-77.7165286
2448.894097,0,,2448.894097,-79.21801984
2505.936168,0,,2505.936168,-80.75934736
2564.30692,0,,2564.30692,-82.34352951
2624.037301,0,,2624.037301,-83.97391036
2685.158982,0,,2685.158982,-85.6541926
2747.704369,0,,2747.704369,-87.38847284
2811.706626,0,,2811.706626,-89.18127943
2877.199687,0,,2877.199687,-91.03761203
2944.218277,0,,2944.218277,-92.96298254
3012.79793,0,,3012.79793,-94.96345585
3082.975009,0,,3082.975009,-97.04568884
3154.786722,0,,3154.786722,-99.2169647
3228.271145,0,,3228.271145,-101.4852189
3303.46724,0,,3303.46724,-103.8590514
3380.414877,0,,3380.414877,-106.3477171
3459.154855,0,,3459.154855,-108.9610865
3539.728922,0,,3539.728922,-111.7095622
3622.1798,0,,3622.1798,-114.603937
3706.551207,0,,3706.551207,-117.6551752
3792.887875,0,,3792.887875,-120.8740975
3881.235583,0,,3881.235583,-124.2709492
3971.641174,0,,3971.641174,-127.8548382
4064.152581,0,,4064.152581,-131.6330378
4158.818856,0,,4158.818856,-135.6101712
4255.690191,0,,4255.690191,-139.787324
4354.81795,0,,4354.81795,-144.1611708
4456.254691,0,,4456.254691,-148.7232482
4560.054197,0,,4560.054197,-153.459541
4666.271504,0,,4666.271504,-158.3505663
4774.96293,0,,4774.96293,-163.3721095
4886.186105,0,,4886.186105,-168.4966956
5000,0,,5000,-173.6957639
5116.464961,0,,5116.464961,-178.942395
5235.64274,0,,5235.64274,-184.2143621
5357.596526,0,,5357.596526,-189.49728
5482.390981,0,,5482.390981,-194.7877292
5610.092272,0,,5610.092272,-200.0964279
5740.768107,0,,5740.768107,-205.4517926
5874.487775,0,,5874.487775,-210.9045598
6011.322173,0,,6011.322173,-216.5345738
6151.343854,0,,6151.343854,-222.4614402
6294.627059,0,,6294.627059,-228.8615764
6441.247758,0,,6441.247758,-235.9949949
6591.283693,0,,6591.283693,-244.2441976
6744.814413,0,,6744.814413,-254.1571846
